tabelog_site,restaurant_name,rating,rating_users,save_users,main_genre,address_region,address_locality,address_street,closest_station,lunch_budget,dinner_budget,review_lunch_budget,review_dinner_budget,award_medals,award_selections,award_kamiawa,genre,transportation,closed_dates,opening_hrs,reservation_status,payment_methods,no_of_seats,official_website,social_account,opening_date,remarks,branches,lat,lng,image,name,price_range,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,prev_rating,prev_rating_users,prev_save_users
https://tabelog.com/tokyo/A1303/A130301/13269828/,おもてなしとりよし 渋谷道玄坂店（鳥良）,3.09,40,1774,焼き鳥,東京都,渋谷区,道玄坂2-29-8 道玄坂センタービル 6F,渋谷駅,,"￥4,000～￥4,999",,"￥3,000～￥3,999",,,,焼き鳥、居酒屋、日本料理,"JR渋谷駅ハチ公口 徒歩3分／京王井の頭線渋谷駅徒歩3分／東急田園都市線渋谷駅徒歩3分/2番出口を出て左へ登ってビル並び
渋谷駅から310m",,"月・火・水・木



17:00 - 23:30





金



17:00 - 04:00





土・日



16:00 - 23:30






■ 営業時間★年中無休★席のみのご予約も大歓迎です！★団体様のお問い合わせ大歓迎です！皆様のご来店、心よりお待ちしております。",,"カード可

（VISA、Master、JCB、AMEX、Diners）



電子マネー可
（交通系電子マネー（Suicaなど）、楽天Edy、iD、QUICPay）


QRコード決済可

（PayPay、d払い、楽天ペイ、au PAY、Alipay、WeChat Pay）",122席,,,"このお店はリニューアルしました。※リニューアル前の情報は最新のものとは異なります。
リニューアル前の店舗情報を見る",,tabelog.com/grouplst/G04295/,35.65926354,139.6979668,https://tblg.k-img.com/restaurant/images/Rvw/330880/640x640_rect_4dd7a32563bf1e11fde6bba2a316b3bc.jpg,おもてなしとりよし 渋谷道玄坂店,"￥4,000～￥4,999",,,,,,,,,,,,,,,,,,,,,,,,,3.09,40,1774
https://tabelog.com/tokyo/A1301/A130101/13113592/,五代目 野田岩 銀座,3.41,216,14700,うなぎ,東京都,中央区,銀座4-2-15 塚本ビル　Ｂ１Ｆ,銀座駅,,,"￥6,000～￥7,999","￥10,000～￥14,999",,,神泡認定店,うなぎ,"銀座駅C6出口に直結。階段の途中に入口あり。
銀座駅から94m",日曜日,"月・火・水・木・金・土



11:30 - 14:30
L.O. 14:00


17:00 - 21:00
L.O. 20:00





日



定休日






【定休日】日曜日、土用の丑の日、不定休あり


営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",予約可,"カード可

（VISA、JCB、AMEX、Diners）



電子マネー不可


QRコード決済可","32席

（テーブル32席）",http://www.nodaiwa.co.jp/,,2010年6月18日,,tabelog.com/grouplst/G06134/,35.67268624,139.7638365,https://tblg.k-img.com/restaurant/images/Rvw/77432/640x640_rect_77432699.jpg,五代目 野田岩 銀座,"￥10,000～￥14,999",,,,,,,,,,,,,,,,,,,,,,,,,3.41,216,14700
https://tabelog.com/tokyo/A1304/A130401/13033875/,さがみ 新宿小田急店,3.26,85,1477,日本料理,東京都,新宿区,西新宿1-1-3 小田急百貨店新宿店 本館 13F,新宿駅,"￥2,000～￥2,999","￥5,000～￥5,999",,,,,,日本料理、しゃぶしゃぶ、居酒屋,"ＪＲ新宿駅西口直結、小田急百貨店13F小田急線新宿駅西口直結、小田急百貨店13F京王線新宿西口　改札前エレベーター上った小田急百貨店13F
新宿駅から108m",,"■営業時間11:00～22:30(L.O.21:30)■定休日不定休（小田急百貨店新宿店に準ずる）


営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,"カード可

（VISA、Master、JCB、AMEX、Diners）



電子マネー可
（交通系電子マネー（Suicaなど））",156席,,,,完全個室のご利用に限り、サービス料10％、個室料5400円を頂戴しております。,,35.69130241,139.6997191,https://tblg.k-img.com/restaurant/images/Rvw/184963/640x640_rect_d0af45aa1d4cc66adf8fe3e404dae442.jpg,さがみ 新宿小田急店,"￥5,000～￥5,999",,,,,,,,,,,,,,,,,,,,,,,,,3.26,85,1477
https://tabelog.com/kyoto/A2601/A260101/26002554/,鉄板居酒屋 京とんちん亭 みやこみち店,3.39,101,1548,お好み焼き,京都府,京都市下京区,東塩小路釜殿町31-1,京都駅,"￥1,000～￥1,999","￥3,000～￥3,999","￥1,000～￥1,999","￥3,000～￥3,999",,,,お好み焼き、鉄板焼き,"JR京都線京都駅徒歩1分
京都駅から272m",,"月・火・水・木・金・土・日・祝日・祝前日・祝後日



11:00 - 22:00
L.O. 21:00",予約不可,"カード可

（VISA、Master、JCB、AMEX、Diners、UnionPay）



電子マネー可
（交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay）


QRコード決済可

（PayPay、d払い、au PAY、Alipay、WeChat Pay）","49席

（カウンターあり）",,https://www.instagram.com/miyacomichitonchintei/,,"女性オーナーのお店です

瓶コーク提供店",,34.9845321,135.7561417,https://tblg.k-img.com/restaurant/images/Rvw/153386/640x640_rect_2e310f4bf26d98c21cd339da77a8bcb0.jpg,鉄板居酒屋 京とんちん亭 みやこみち店,"￥3,000～￥3,999",,,,,,,,,,,,,,,,,,,,,,,,,3.39,101,1548
https://tabelog.com/kyoto/A2601/A260604/26011655/,ポムの樹 イオン洛南店,3.04,17,67,オムライス,京都府,京都市南区,吉祥院御池町31 イオン洛南店 1F,西大路駅,,,"￥1,000～￥1,999","￥1,000～￥1,999",,,,オムライス,"JR西日本東海道線西大路駅南口近鉄京都線東寺駅,十条駅
西大路駅から732m",,"月・火・水・木・金・土・日・祝日・祝前日・祝後日



11:00 - 21:30
L.O. 21:00




営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,"カード可

（VISA、Master、JCB、AMEX、Diners）



電子マネー可
（WAON）


QRコード決済可",50席,https://www.pomunoki.com,"https://x.com/pomunoki_offl

https://www.instagram.com/pomunoki_official",,,tabelog.com/grouplst/G00158/,34.97498494,135.7356075,https://tblg.k-img.com/restaurant/images/Rvw/241681/320x320_rect_d6e7cae0fabc9588bd2492b4b4eb7a5b.jpg,ポムの樹 イオン洛南店,"￥1,000～￥1,999",,,,,,,,,,,,,,,,,,,,,,,,,3.04,17,67
https://tabelog.com/kyoto/A2601/A260604/26002757/,焼肉倶楽部いちばん 吉祥院店,3.01,13,131,焼肉,京都府,京都市南区,吉祥院八反田町28,西大路駅,,,"￥1,000～￥1,999","￥3,000～￥3,999",,,,焼肉、しゃぶしゃぶ、ホルモン,"ＪＲ京都線西大路駅 車3分 
西大路駅から1,093m",,"■営業時間午前11：00～深夜1：00　(L.O.24:30)■定休日無休


営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,"カード可

（VISA、Master、JCB、AMEX、Diners）","135席

（宴会最大人数 48人(着席時)）",https://www.yakiniku-ichiban.jp/jp/menu/index.html,,,,tabelog.com/grouplst/G03817/,34.97372945,135.7404254,https://tblg.k-img.com/restaurant/images/Rvw/120959/640x640_rect_120959794.jpg,焼肉倶楽部いちばん 吉祥院店,"￥3,000～￥3,999",,,,,,,,,,,,,,,,,,,,,,,,,3.01,13,131
https://tabelog.com/kyoto/A2601/A260203/26027234/,茶乃逢 二条城店（さのあ）,3.29,51,858,カフェ,京都府,京都市中京区,二条通堀川西入ル二条城町541 二条城大休憩所,二条城前駅,,,～￥999,～￥999,,,,カフェ、ソフトクリーム,"地下鉄東西線「二条城前」駅から徒歩約2分
二条城前駅から202m",,"08:45 - 16:45




営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",予約不可,"カード可


電子マネー可


QRコード決済不可",100席,http://www.sanoah.jp/,,2016年3月13日,二条城大休憩所内。訪れるには二条城の入城料が必要です。,,35.01364342,135.7509163,https://tblg.k-img.com/restaurant/images/Rvw/89637/640x640_rect_89637023.jpg,茶乃逢 二条城店,～￥999,,,,,,,,,,,,,,,,,,,,,,,,,3.29,51,858
https://tabelog.com/nara/A2901/A290101/29012506/,牛まぶし三山（みやま）,3.33,31,328,食堂,奈良県,奈良市,春日野町11,近鉄奈良駅,,,"￥1,000～￥1,999",,,,,食堂、牛料理,"近鉄奈良駅から1,117m",,"■ 営業時間11:00～売り切れるまで■定休日木曜日、金曜日


営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",予約不可,"カード可

（AMEX）



電子マネー可


QRコード決済可

（PayPay）",,,https://www.instagram.com/gyumabushimiyama,"このお店はリニューアルしました。※リニューアル前の情報は最新のものとは異なります。
リニューアル前の店舗情報を見る",,,34.68375964,135.8396059,https://tblg.k-img.com/restaurant/images/Rvw/334820/640x640_rect_a78492d3047a734bb8776120b644f596.jpg,牛まぶし三山,&nbsp;,,,,,,,,,,,,,,,,,,,,,,,,,3.33,31,328
https://tabelog.com/osaka/A2701/A270202/27001451/,かに道楽 道頓堀中店,3.21,72,869,かに,大阪府,大阪市中央区,道頓堀1-6-2,なんば駅（大阪メトロ）,,,"￥5,000～￥5,999","￥10,000～￥14,999",,,,かに、日本料理,なんば駅（大阪メトロ）から323m,,"11:00 - 23:00




営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",予約可,"カード可

（JCB、AMEX、Diners）



電子マネー可


QRコード決済可",,http://www.douraku.co.jp/,,,,tabelog.com/grouplst/G00313/,34.66884238,135.5031542,https://tblg.k-img.com/restaurant/images/Rvw/278025/640x640_rect_78d7aeae243d2aad12c0b55de3fc5b60.jpg,かに道楽 道頓堀中店,"￥10,000～￥14,999",,,,,,,,,,,,,,,,,,,,,,,,,3.21,72,869
https://tabelog.com/kyoto/A2601/A260201/26000650/,窯焼和牛ステーキと京のおばんざい 市場小路 寺町本店（イチバコウジ）,3.48,319,26847,居酒屋,京都府,京都市中京区,寺町通錦小路上ル円福寺前町283 WITH YOUビル B1F,京都河原町駅,"￥1,000～￥1,999","￥3,000～￥3,999","￥1,000～￥1,999","￥6,000～￥7,999",,,,居酒屋、ステーキ、日本料理,"阪急河原町駅より徒歩3分京阪祇園四条駅より徒歩10分寺町通錦上ル西側ウィズユービル地下1階お肉の日よけのれんが目印です！！
京都河原町駅から235m",,"11:30 - 16:00
L.O. 15:00


17:00 - 23:00
L.O. 22:15






■ 定休日元旦",予約可,"カード可

（VISA、Master、JCB、AMEX、Diners）



電子マネー可
（交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay）


QRコード決済可

（PayPay、au PAY）","136席

（掘りごたつ８４席、テーブル７６席、カウンター８席）",http://www.star-kyoto.co.jp/,,2014年3月1日,◇◇市場小路寺町本店の宴会はここが違う！◇◇ 河原町、寺町、四条エリアの【歓送迎会】なら市場小路にお任せください！ １．厳選した黒毛和牛希少部位！じっくり石窯で焼き上げ、　　　　　　　　鉄板で仕上げる♪★黒毛和牛赤身ステーキ 2．ジュー視な極上炙りリブロースをユッケ風に！鉄板の美味しさです！ ３．全9品！肉！肉！！肉！！！お肉料理の豊富さが楽しめる肉匠コース。 ４．2名様から最大60名様までOK！！豊富な掘りごたつ席から、　　　　　　　　　　　オープンキッチンのカウンター席も（早い者勝ち）　　　　　カップルからファミリー、法人関係にもご好評いただいております５．サプライズお任せください！前日のご予約ならホールケーキを手配します　　お好きなメッセージを入れてご提供します。（ケーキ代金別途）６．アクセス抜群◎阪急河原町駅７番出口から出て徒歩３分。雨降りでも雨に濡れず安心♪帰りも駅近だから時間の調整がつけやすい河原町のど真ん中だから、２次会のお店も決めやすい,,35.00523071,135.7667526,https://tblg.k-img.com/restaurant/images/Rvw/146631/640x640_rect_146631110.jpg,窯焼和牛ステーキと京のおばんざい 市場小路 寺町本店,"￥3,000～￥3,999",,,,,,,,,,,,,,,,,,,,,,,,,3.48,319,26847
