restaurant_name,rating,main_genre,address_region,address_locality,address_street,closest_station,rating_users,save_users,lunch_budget,dinner_budget,review_lunch_budget,review_dinner_budget,award_medals,award_selections,award_kamiawa,genre,transportation,closed_dates,opening_hrs,reservation_status,payment_methods,no_of_seats,official_website,social_account,opening_date,remarks,branches,tabelog_site,lat,lng,image,name,price_range
扇一 ます寿し本舗,3.71,寿司,富山県,富山市,小泉町54-11,小泉町駅,403,13257,"￥2,000～￥2,999",,"￥2,000～￥2,999","￥2,000～￥2,999",,"食べログ 寿司 WEST 百名店 2025 選出店, 食べログ 寿司 WEST 百名店 2022 選出店",,寿司、郷土料理,"富山地方鉄道 市内軌道本線 小泉町停留場からすぐ。
小泉町駅から21m",,"08:00 - 13:00
                          



営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",予約可,"カード不可


電子マネー不可


QRコード決済不可",,,,2016年10月25日,,,https://tabelog.com/toyama/A1601/A160101/16008103/,36.67819183863506,137.21816503744327,https://tblg.k-img.com/restaurant/images/Rvw/269304/640x640_rect_e81ecf4f6e25f3f856c07752eb3b6054.jpg,扇一 ます寿し本舗,&nbsp;
寿司 うち田（すし うちだ）,3.74,寿司,大阪府,大阪市北区,堂島1-3-40 スタッフ堂島ビル　２Ｆ,大江橋駅,132,9700,,"￥20,000～￥29,999",,"￥20,000～￥29,999",,"食べログ 寿司 WEST 百名店 2025 選出店, 食べログ 寿司 WEST 百名店 2022 選出店, 食べログ 寿司 WEST 百名店 2021 選出店",,寿司、海鮮、日本料理,"京阪中之島線　大江橋駅　徒歩３分ＪＲ東西線　　北新地駅　徒歩4分大阪市営四つ橋線　西梅田駅　徒歩６分
大江橋駅から277m",日曜日、祝日,"月・火・水・木・金・土
                        


                            18:00 - 00:00
                          




                          日・祝日
                        


                            定休日",予約可,"カード可

                      （AMEX）
                    


電子マネー不可","17席

                    （カウンターのみ）",,,,,,https://tabelog.com/osaka/A2701/A270101/27011689/,34.69655683717686,135.49857797626817,https://tblg.k-img.com/restaurant/images/Rvw/8185/320x320_rect_8185026.jpg,寿司 うち田,"￥20,000～￥29,999"
鮓 たいと,4.10,寿司,熊本県,天草市,浄南町2-2,,111,10640,,,"￥20,000～￥29,999","￥20,000～￥29,999",,"食べログ 寿司 WEST 百名店 2025 選出店, 食べログ 寿司 WEST 百名店 2022 選出店",,寿司,産交本渡バスセンターより歩いて3分。熊本市内から車で1時間半〜2時間。,,"12:00 - 20:30
                          





■ 定休日不定休


営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",予約可,"カード不可


電子マネー不可


QRコード決済不可","5席

                    （カウンター：5席、座敷：16人まで）",http://sushitaito.sakura.ne.jp/index.html,,,支払いは現金のみのため注意。,,https://tabelog.com/kumamoto/A4305/A430501/43001426/,32.45212243691293,130.19371295731588,https://tblg.k-img.com/restaurant/images/Rvw/312367/640x640_rect_0024971b1988cd4a37b0a774623379f2.jpg,鮓 たいと,"￥20,000～￥29,999"
鮨 唐島（すし からしま）,4.20,寿司,福岡県,福岡市中央区,赤坂3-1-2 大東ビルⅡ 1F,桜坂駅,223,16546,,,,"￥40,000～￥49,999","The Tabelog Award 2025 Bronze 受賞店, The Tabelog Award 2024 Bronze 受賞店","食べログ 寿司 WEST 百名店 2025 選出店, 食べログ 寿司 WEST 百名店 2022 選出店, 食べログ 寿司 WEST 百名店 2021 選出店",,寿司,桜坂駅から408m,,"18:00 - 20:15
                          

                            20:30 - 23:00
                          





■ 定休日不定休


営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",完全予約制,"カード不可


電子マネー不可


QRコード決済不可",8席,,,2018年5月28日,,,https://tabelog.com/fukuoka/A4001/A400105/40048710/,33.580883819879475,130.38776407391342,https://tblg.k-img.com/restaurant/images/Rvw/232214/640x640_rect_d37282196c8de10d3eb38136040dbfc8.jpg,鮨 唐島,"￥40,000～￥49,999"
飛（トビ）,3.77,寿司,石川県,金沢市,尾山町12-5,北鉄金沢駅,254,16642,,,"￥20,000～￥29,999","￥20,000～￥29,999",,"食べログ 寿司 WEST 百名店 2025 選出店, 食べログ 寿司 WEST 百名店 2022 選出店, 食べログ 寿司 WEST 百名店 2021 選出店",,寿司,"武蔵が辻バス停から徒歩約6分
北鉄金沢駅から1,355m",水曜日、木曜日,"月・火・土・日
                        


                            12:00 - 14:00
                          

                            18:00 - 22:00
                          




                          金
                        


                            18:00 - 22:00
                          




                          水・木
                        


                            定休日
                          





■ 営業時間※まん延防止等重点措置期間中は21:00まで■ 定休日（祝日の場合営業していることもあり）(お盆、ゴールデンウィーク、年末など営業)


営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",予約可,"カード可

                      （VISA、Master、JCB、AMEX、Diners）
                    


電子マネー不可


QRコード決済不可",,,,2016年6月29日,,,https://tabelog.com/ishikawa/A1701/A170101/17010234/,36.56671225219799,136.65461558400173,https://tblg.k-img.com/restaurant/images/Rvw/158229/640x640_rect_158229758.jpg,飛,"￥20,000～￥29,999"
鮨 十兵衛,4.48,寿司,福井県,福井市,文京5-17-5,日華化学前駅,415,25863,"￥20,000～￥29,999","￥20,000～￥29,999","￥30,000～￥39,999","￥30,000～￥39,999","The Tabelog Award 2025 Silver 受賞店, The Tabelog Award 2024 Silver 受賞店, The Tabelog Award 2023 Silver 受賞店, The Tabelog Award 2022 Silver 受賞店, The Tabelog Award 2021 Silver 受賞店, The Tabelog Award 2020 Silver 受賞店, The Tabelog Award 2019 Silver 受賞店, The Tabelog Award 2018 Silver 受賞店","食べログ 寿司 WEST 百名店 2025 選出店, 食べログ 寿司 WEST 百名店 2022 選出店, 食べログ 寿司 WEST 百名店 2021 選出店",,寿司,"電車で福井駅から日華化学前で下車。日華化学前から徒歩約10分。福井北ICからお車で約20分。
日華化学前駅から540m",日曜日,"月・火・水・木・金・土
                        


                            12:00 - 14:00
                          

                            18:30 - 20:30
                          




                          日
                        


                            定休日
                          





■ 定休日不定休",完全予約制,"カード可

                      （VISA、Master、JCB、AMEX、Diners）
                    


電子マネー不可


QRコード決済不可",8席,,https://www.facebook.com/jubeisushi,,,,https://tabelog.com/fukui/A1801/A180101/18001608/,36.07666303652485,136.20361068971434,https://tblg.k-img.com/restaurant/images/Rvw/80472/320x320_rect_80472890.jpg,鮨 十兵衛,"￥20,000～￥29,999"
乙女寿司（おとめずし）,4.22,寿司,石川県,金沢市,木倉町4-10,野町駅,570,52363,,,"￥20,000～￥29,999","￥20,000～￥29,999","The Tabelog Award 2025 Bronze 受賞店, The Tabelog Award 2024 Bronze 受賞店, The Tabelog Award 2023 Bronze 受賞店, The Tabelog Award 2022 Bronze 受賞店, The Tabelog Award 2021 Bronze 受賞店, The Tabelog Award 2020 Bronze 受賞店, The Tabelog Award 2019 Silver 受賞店, The Tabelog Award 2018 Bronze 受賞店","食べログ 寿司 WEST 百名店 2025 選出店, 食べログ 寿司 WEST 百名店 2022 選出店, 食べログ 寿司 WEST 百名店 2021 選出店",,寿司,"香林坊バス停から徒歩約5～8分[路線によってバス停が分散しているため]
野町駅から1,062m",水曜日、日曜日、祝日,"月・火・木・金・土
                        


                            12:00 - 14:00
                          

                            17:00 - 22:00
                          




                          水・日・祝日
                        


                            定休日
                          





■ 営業時間最終入店 19:30※予約が必須


営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",予約可,"カード可

                      （VISA、Master、JCB、AMEX、Diners）
                    


電子マネー不可


QRコード決済不可","17席

                    （カウンター9席、座敷8席）",,,,隣のパーキングが満車時は、香林坊地下駐車場を利用するのがよい。完全予約制ではありませんが、予約して行く事をお勧めします。,,https://tabelog.com/ishikawa/A1701/A170101/17000107/,36.561445636359686,136.65170219429697,https://tblg.k-img.com/restaurant/images/Rvw/122304/640x640_rect_122304378.jpg,乙女寿司,"￥20,000～￥29,999"
喜一（キイチ 㐂一）,3.77,寿司,兵庫県,芦屋市,大桝町5-8 アパートメントアシヤ大枡 1F,芦屋駅（阪神）,159,12493,"￥10,000～￥14,999",,"￥15,000～￥19,999","￥15,000～￥19,999",,"食べログ 寿司 WEST 百名店 2025 選出店, 食べログ 寿司 WEST 百名店 2022 選出店, 食べログ 寿司 WEST 百名店 2021 選出店",,寿司,"阪神芦屋駅から東へ徒歩５分JR神戸線芦屋駅から徒歩9分
芦屋駅（阪神）から304m",,"■ 営業時間[水・木]12:00～17:00～[火・金]17:00～[土・日]ランチ 12:00～ディナー1部 17:00～19:00ディナー2部 19:30～■定休日月曜日


営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",予約可,"カード不可


電子マネー不可


QRコード決済不可","8席

                    （カウンター席のみ）",,https://www.instagram.com/https://www.instagram.com/kiichi.7771?igsh=MXVwNDE5ZHlkMngyMw==,2014年4月25日,店名のキイチのキは、七が3つの漢字㐂一リンクから飛べない場合、Instagramで「kiichi.7771」と検索すると出ます。,,https://tabelog.com/hyogo/A2803/A280302/28040672/,34.72966851981881,135.30597828014473,https://tblg.k-img.com/restaurant/images/Rvw/190424/640x640_rect_d73ccc908d749ea75afa6898a615c39e.jpg,喜一,&nbsp;
鮨 のぐち,3.75,寿司,大阪府,大阪市北区,曽根崎新地1-2-8,北新地駅,184,14754,,,,"￥30,000～￥39,999",,"食べログ 寿司 WEST 百名店 2025 選出店, 食べログ 寿司 WEST 百名店 2022 選出店, 食べログ 寿司 WEST 百名店 2021 選出店",,寿司,北新地駅から196m,日曜日、祝日,"月・火・水・木・金・土・祝前日・祝後日
                        


                            18:00 - 23:00
                          




                          日・祝日
                        


                            定休日
                          



営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",予約可,"カード可

                      （VISA、Master、JCB、AMEX、Diners）
                    


電子マネー不可


QRコード決済不可","12席

                    （カウンターのみ）",,,,出前は承って下りません。,,https://tabelog.com/osaka/A2701/A270101/27004965/,34.697089337176315,135.49792027627402,https://tblg.k-img.com/restaurant/images/Rvw/153391/640x640_rect_153391932.jpg,鮨 のぐち,"￥30,000～￥39,999"
寿司 中川（なかがわ）,3.95,寿司,香川県,高松市,御坊町10-7,片原町駅（高松）,209,11227,,,,"￥30,000～￥39,999",,"食べログ 寿司 WEST 百名店 2025 選出店, 食べログ 寿司 WEST 百名店 2022 選出店, 食べログ 寿司 WEST 百名店 2021 選出店",,寿司,片原町駅（高松）から403m,,"■ 営業時間17:30～■ 定休日不定休


営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",予約可,"カード可

                      （JCB、AMEX、Diners）
                    


電子マネー不可


QRコード決済不可",,,,,,,https://tabelog.com/kagawa/A3701/A370101/37000760/,34.34338403694018,134.0510208737155,https://tblg.k-img.com/restaurant/images/Rvw/263401/640x640_rect_c95d386891aa67937e54f7322456d5ea.jpg,寿司 中川,"￥30,000～￥39,999"
