restaurant_name,rating,main_genre,address_region,address_locality,address_street,closest_station,rating_users,save_users,lunch_budget,dinner_budget,review_lunch_budget,review_dinner_budget,award_medals,award_selections,award_kamiawa,genre,transportation,closed_dates,opening_hrs,reservation_status,payment_methods,no_of_seats,official_website,social_account,opening_date,remarks,branches,tabelog_site,lat,lng,image,name,price_range
日本橋蛎殻町 すぎた,4.67,寿司,東京都,中央区,日本橋蛎殻町1-33-6 ビューハイツ日本橋 B1F,水天宮前駅,838,93093,"￥40,000～￥49,999","￥40,000～￥49,999","￥50,000～￥59,999","￥50,000～￥59,999","The Tabelog Award 2024 Gold 受賞店, The Tabelog Award 2023 Gold 受賞店, The Tabelog Award 2022 Gold 受賞店, The Tabelog Award 2021 Gold 受賞店, The Tabelog Award 2020 Gold 受賞店, The Tabelog Award 2019 Gold 受賞店, The Tabelog Award 2018 Gold 受賞店, The Tabelog Award 2017 Gold 受賞店","食べログ 寿司 TOKYO 百名店 2022 選出店, 食べログ 寿司 TOKYO 百名店 2021 選出店",,寿司,"水天宮前駅4番出口から徒歩約2分
水天宮前駅から101m",,■ 営業時間【水・金・土】昼：12:00～夜：17:30～、20:30～【木・日】昼：12:00～夜：17:30～■ 定休日月曜日（不定休日：火曜日）,完全予約制,"カード可

                      （VISA、Master、JCB、AMEX、Diners）
                    


電子マネー不可


QRコード決済不可","9席

                    （個室カウンターあり）",,,2015年10月27日,**職人募集**学びたい思いのある人を募集しております。経験・性別不問、一緒に未来をつくっていきましょう。アルバイトさんも募集しております。深夜勤務も歓迎です。ご連絡は店舗電話番号までお願いします。,,https://tabelog.com/tokyo/A1302/A130204/13018162/,35.68192953872146,139.78492058437854,https://tblg.k-img.com/restaurant/images/Rvw/80149/320x320_rect_80149833.jpg,日本橋蛎殻町 すぎた,"￥40,000～￥49,999"
片折,4.64,日本料理,石川県,金沢市,並木町3-36,北鉄金沢駅,340,41765,"￥40,000～￥49,999","￥40,000～￥49,999","￥60,000～￥79,999","￥60,000～￥79,999","The Tabelog Award 2024 Gold 受賞店, The Tabelog Award 2023 Gold 受賞店, The Tabelog Award 2022 Gold 受賞店, The Tabelog Award 2021 Gold 受賞店, The Tabelog Award 2020 Silver 受賞店","食べログ 日本料理 WEST 百名店 2023 選出店, 食べログ 日本料理 WEST 百名店 2021 選出店",,日本料理,"バス停「橋場町」より徒歩７分程度金沢駅より徒歩15分
北鉄金沢駅から1,913m",,"12:00 - 14:30
                          

                            17:30 - 20:00
                          





■ 営業時間（ただし、松茸の時期は19:00～）■ 定休日不定休


営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",完全予約制,"カード可

                      （VISA、Master、JCB、AMEX、Diners）
                    


電子マネー不可


QRコード決済不可",8席,https://kataori.jp/,,2018年5月16日,,,https://tabelog.com/ishikawa/A1701/A170101/17011166/,36.56956213716506,136.6679907955293,https://tblg.k-img.com/restaurant/images/Rvw/219626/640x640_rect_763a32c52982796d6d9c5b5755d74ea7.jpg,片折,"￥40,000～￥49,999"
新ばし 星野,4.63,日本料理,東京都,港区,新橋5-31-3,御成門駅,260,28558,,,,"￥50,000～￥59,999","The Tabelog Award 2024 Gold 受賞店, The Tabelog Award 2023 Gold 受賞店, The Tabelog Award 2022 Gold 受賞店, The Tabelog Award 2021 Gold 受賞店, The Tabelog Award 2020 Gold 受賞店, The Tabelog Award 2018 Gold 受賞店, The Tabelog Award 2017 Gold 受賞店","食べログ 日本料理 TOKYO 百名店 2023 選出店, 食べログ 日本料理 TOKYO 百名店 2021 選出店",,日本料理,御成門駅から415m,日曜日、祝日,"月・火・水・木・金・土
                        


                            18:00 - 23:00
                          




                          日・祝日
                        


                            定休日",完全予約制,"カード可

                      （VISA、Master、JCB、AMEX、Diners）",,,,2012年2月2日,,,https://tabelog.com/tokyo/A1314/A131401/13136847/,35.66242423872443,139.75531228420226,https://tblg.k-img.com/restaurant/images/Rvw/219619/640x640_rect_a2ee15bd4de3fcf57625f62d0547bd1f.jpg,新ばし 星野,"￥50,000～￥59,999"
道人（どうじん）,4.62,日本料理,京都府,京都市左京区,仁王門通新柳馬場東入ル菊鉾町291-1,三条京阪駅,223,24032,,"￥50,000～￥59,999",,"￥60,000～￥79,999","The Tabelog Award 2024 Gold 受賞店, The Tabelog Award 2023 Gold 受賞店, The Tabelog Award 2022 Gold 受賞店, The Tabelog Award 2021 Gold 受賞店, The Tabelog Award 2020 Gold 受賞店, The Tabelog Award 2019 Bronze 受賞店","食べログ 日本料理 WEST 百名店 2023 選出店, 食べログ 日本料理 WEST 百名店 2021 選出店",,日本料理,"地下鉄　三条京阪駅　徒歩5分
三条京阪駅から307m",,"18:00 - 22:00
                          





■ 定休日不定休",予約可,"カード可

                      （VISA、Master、JCB、AMEX、Diners）
                    


電子マネー不可


QRコード決済不可",5席,,,,,,https://tabelog.com/kyoto/A2601/A260301/26030764/,35.011775713331865,135.77549574248292,https://tblg.k-img.com/restaurant/images/Rvw/237535/640x640_rect_3eecfd50cc256e37cda4da7a370c89af.jpg,道人,"￥50,000～￥59,999"
東麻布 天本,4.61,寿司,東京都,港区,東麻布1-7-9 ザ・ソノビル 102,赤羽橋駅,539,52672,,"￥40,000～￥49,999",,"￥50,000～￥59,999","The Tabelog Award 2024 Gold 受賞店, The Tabelog Award 2023 Gold 受賞店, The Tabelog Award 2022 Gold 受賞店, The Tabelog Award 2021 Gold 受賞店, The Tabelog Award 2020 Gold 受賞店, The Tabelog Award 2019 Gold 受賞店, The Tabelog Award 2018 Gold 受賞店, The Tabelog Award 2017 Silver 受賞店","食べログ 寿司 TOKYO 百名店 2022 選出店, 食べログ 寿司 TOKYO 百名店 2021 選出店",,寿司,"都営大江戸線 赤羽橋駅 徒歩4分 東京メトロ日比谷線 神谷町駅 徒歩10分 
赤羽橋駅から259m",水曜日、日曜日,"月・火・木・金・土
                        


                            17:00 - 00:00
                          




                          水・日
                        


                            定休日",完全予約制,"カード可

                      （VISA、Master、AMEX、Diners）
                    


電子マネー不可


QRコード決済不可","8席

                    （カウンター8席）",http://higashiazabuamamoto.com/,,2016年6月3日,"コース44,000円（税込み）～2024年より、48,400（税込み）～と変更になります※ご予約はウェブサイトからのみ受付けます。ご来店時やお電話・メールなどその他の方法によるお問い合わせは一切受け付けておりません。",,https://tabelog.com/tokyo/A1314/A131401/13196420/,35.65730923872389,139.7434470841589,https://tblg.k-img.com/restaurant/images/Rvw/219665/640x640_rect_3768afb2caeba0e82c112c87f6374479.jpg,東麻布 天本,"￥40,000～￥49,999"
アカ（aca 1°）,4.61,スペイン料理,東京都,中央区,日本橋室町2-1-1 三井2号館,三越前駅,464,50223,,"￥60,000～￥79,999","￥80,000～￥99,999","￥80,000～￥99,999","The Tabelog Award 2024 Gold 受賞店, The Tabelog Award 2023 Gold 受賞店, The Tabelog Award 2022 Gold 受賞店, The Tabelog Award 2021 Silver 受賞店",食べログ スペイン料理 百名店 2024 選出店,,スペイン料理,三越前駅から157m,,"■ 営業時間[月～金]17:00～20:30～[土]12:00～17:00～※いずれも2部制■ 定休日日曜日


営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",完全予約制,"カード可

                      （VISA、Master、JCB、AMEX、Diners）
                    


電子マネー不可


QRコード決済不可",8席,http://aca-kyoto.jp/,"https://www.facebook.com/kyoto.aca
 
https://www.instagram.com/aca_kyoto_tokyo/",2020年8月1日,,,https://tabelog.com/tokyo/A1302/A130202/13249117/,35.68686463871432,139.7723436844372,https://tblg.k-img.com/restaurant/images/Rvw/168998/640x640_rect_bb55c935f1d142f4792d75a469c8b5e0.jpg,アカ,"￥60,000～￥79,999"
成生,4.60,天ぷら,静岡県,静岡市葵区,丸山町12-2,新静岡駅,289,26892,,,"￥60,000～￥79,999","￥60,000～￥79,999","The Tabelog Award 2024 Gold 受賞店, The Tabelog Award 2023 Gold 受賞店, The Tabelog Award 2022 Silver 受賞店","食べログ 天ぷら 百名店 2023 選出店, 食べログ 天ぷら 百名店 2022 選出店",,天ぷら,"新静岡駅から1,447m赤鳥居・浅間神社入口(バス停)から徒歩7分
新静岡駅から1,447m",,,完全予約制,"カード可

                      （VISA、AMEX）
                    


電子マネー不可


QRコード決済不可",,,,,新規のご予約は予約サイト「食オク」にて承ります。,,https://tabelog.com/shizuoka/A2201/A220101/22037788/,34.98500883871545,138.3761613783265,https://tblg.k-img.com/restaurant/images/Rvw/200232/640x640_rect_3b7897ef06cb0067c97adacb3fa7fa59.jpg,成生,"￥60,000～￥79,999"
鮨 あらい,4.59,寿司,東京都,中央区,銀座8-10-2 ルアンビル B1F 2F,銀座駅,826,69441,"￥50,000～￥59,999","￥50,000～￥59,999","￥60,000～￥79,999","￥60,000～￥79,999","The Tabelog Award 2024 Gold 受賞店, The Tabelog Award 2023 Gold 受賞店, The Tabelog Award 2022 Gold 受賞店, The Tabelog Award 2021 Gold 受賞店, The Tabelog Award 2020 Gold 受賞店, The Tabelog Award 2019 Silver 受賞店, The Tabelog Award 2018 Silver 受賞店, The Tabelog Award 2017 Gold 受賞店","食べログ 寿司 TOKYO 百名店 2022 選出店, 食べログ 寿司 TOKYO 百名店 2021 選出店",,寿司,"東京メトロ「銀座駅」A5出口から徒歩5～6分
銀座駅から443m",水曜日,"月・火・金・土・日
                        


                            12:00 - 14:00
                          

                            18:00 - 23:00
                          




                          木
                        


                            18:00 - 23:00
                          




                          水
                        


                            定休日",予約可,"カード可

                      （JCB、AMEX、Diners）
                    


電子マネー不可


QRコード決済不可","14席

                    （カウンター7席、個室7席）",https://sushi-arai.com,,2015年10月21日,,,https://tabelog.com/tokyo/A1301/A130101/13188186/,35.668071938723195,139.76271398425413,https://tblg.k-img.com/restaurant/images/Rvw/71238/320x320_rect_71238251.jpg,鮨 あらい,"￥50,000～￥59,999"
松川,4.59,日本料理,東京都,港区,赤坂1-11-6 赤坂テラスハウス １階,六本木一丁目駅,485,50142,"￥80,000～￥99,999","￥80,000～￥99,999","￥80,000～￥99,999","￥80,000～￥99,999","The Tabelog Award 2024 Gold 受賞店, The Tabelog Award 2023 Gold 受賞店, The Tabelog Award 2022 Gold 受賞店, The Tabelog Award 2021 Gold 受賞店, The Tabelog Award 2020 Gold 受賞店, The Tabelog Award 2019 Gold 受賞店, The Tabelog Award 2018 Gold 受賞店, The Tabelog Award 2017 Gold 受賞店","食べログ 日本料理 TOKYO 百名店 2023 選出店, 食べログ 日本料理 TOKYO 百名店 2021 選出店",,日本料理,"東京メトロ 銀座線・南北線「溜池山王駅」13出口より、徒歩10分東京メトロ 南北線「六本木一丁目駅」3出口より、徒歩10分東京メトロ 日比谷線「神谷町駅」4b出口より、徒歩10分
六本木一丁目駅から414m",日曜日、祝日,"月・火・水・金
                        


                            18:00 - 22:00
                              L.O. 20:00





                          木・土
                        


                            12:00 - 15:00
                              L.O. 13:00


                            18:00 - 22:00
                              L.O. 20:00





                          日・祝日
                        


                            定休日
                          





■ 定休日詳細は公式HPのカレンダーに記載


営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",完全予約制,"カード不可


電子マネー不可


QRコード決済不可","22席

                    （カウンター×6席、座敷×4席、個室×4席、個室×8席）",http://www.t-matsukawa.com,,2011年3月8日,※完全紹介制・完全予約制です。招福楼、青草窠で料理長を務めた松川氏が出されたお店。カード不可。,,https://tabelog.com/tokyo/A1307/A130701/13124391/,35.66746173871711,139.7423901842622,https://tblg.k-img.com/restaurant/images/Rvw/259854/640x640_rect_8d15bbd36867b3d29741d28b9ecbfd7d.jpg,松川,"￥80,000～￥99,999"
鮨 さいとう（【旧店名】鮨かねさか 赤坂店）,4.58,寿司,東京都,港区,六本木1-4-5 アークヒルズサウスタワー 1Ｆ,六本木一丁目駅,1160,106164,"￥30,000～￥39,999","￥30,000～￥39,999","￥50,000～￥59,999","￥50,000～￥59,999","The Tabelog Award 2024 Gold 受賞店, The Tabelog Award 2023 Gold 受賞店, The Tabelog Award 2022 Gold 受賞店, The Tabelog Award 2021 Gold 受賞店, The Tabelog Award 2020 Gold 受賞店, The Tabelog Award 2019 Gold 受賞店, The Tabelog Award 2018 Gold 受賞店, The Tabelog Award 2017 Gold 受賞店","食べログ 寿司 TOKYO 百名店 2022 選出店, 食べログ 寿司 TOKYO 百名店 2021 選出店",,寿司,"溜池山王駅徒歩5分虎ノ門駅徒歩8分
六本木一丁目駅から74m",日曜日、祝日,"月・火・水・木・金・土
                        


                            12:00 - 14:00
                          

                            18:00 - 23:00
                          




                          日・祝日
                        


                            定休日
                          





■ 定休日但し、連休にならない祝日は除く",完全予約制,"カード可

                      （VISA、JCB、AMEX、Diners）
                    


電子マネー不可


QRコード決済不可","9席

                    （カウンター最大9席（通常は8席））",,,,新規の電話ご予約は受け付けておりません。予約サイト「食オク」にて限定で予約を承ります。,,https://tabelog.com/tokyo/A1308/A130802/13015251/,35.665376438717544,139.7395882842431,https://tblg.k-img.com/restaurant/images/Rvw/78151/320x320_rect_78151533.jpg,鮨 さいとう,"￥30,000～￥39,999"
